#  Re(w)     Im(w)    e11            e22            e33            e12            e13            e23
   0.05000   0.01000  0.2177074E+00  0.2177074E+00  0.2177074E+00 -0.6938894E-17  0.0000000E+00  0.0000000E+00
   0.06566   0.01000  0.3066850E+00  0.3066850E+00  0.3066850E+00 -0.1526557E-15  0.2775558E-16  0.1942890E-15
   0.08131   0.01000  0.4174969E+00  0.4174969E+00  0.4174969E+00 -0.1387779E-16 -0.5551115E-16 -0.5551115E-16
   0.09697   0.01000  0.5636082E+00  0.5636082E+00  0.5636082E+00  0.2775558E-16 -0.1110223E-15 -0.1110223E-15
   0.11263   0.01000  0.7694560E+00  0.7694560E+00  0.7694560E+00  0.8326673E-16 -0.1665335E-15  0.1665335E-15
   0.12828   0.01000  0.1084980E+01  0.1084980E+01  0.1084980E+01 -0.7216450E-15 -0.2220446E-15  0.0000000E+00
   0.14394   0.01000  0.1630236E+01  0.1630236E+01  0.1630236E+01  0.2220446E-15  0.1110223E-15  0.3330669E-15
   0.15960   0.01000  0.2773069E+01  0.2773069E+01  0.2773069E+01 -0.8881784E-15  0.2220446E-15  0.6661338E-15
   0.17525   0.01000  0.6176272E+01  0.6176272E+01  0.6176272E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00
   0.19091   0.01000  0.2152570E+02  0.2152570E+02  0.2152570E+02 -0.3552714E-14  0.5329071E-14 -0.5329071E-14
   0.20657   0.01000  0.1721107E+02  0.1721107E+02  0.1721107E+02 -0.2664535E-14  0.0000000E+00  0.0000000E+00
   0.22222   0.01000  0.1163928E+02  0.1163928E+02  0.1163928E+02  0.1776357E-14  0.3552714E-14  0.3552714E-14
   0.23788   0.01000  0.2624162E+02  0.2624162E+02  0.2624162E+02  0.8881784E-15  0.3552714E-14  0.3552714E-14
   0.25354   0.01000  0.6294921E+02  0.6294921E+02  0.6294921E+02 -0.3730349E-13 -0.1421085E-13  0.1421085E-13
   0.26919   0.01000  0.5185247E+02  0.5185247E+02  0.5185247E+02  0.0000000E+00  0.1065814E-13 -0.2486900E-13
   0.28485   0.01000  0.1738698E+02  0.1738698E+02  0.1738698E+02  0.3552714E-14  0.3552714E-14  0.3552714E-14
   0.30051   0.01000  0.8367646E+01  0.8367646E+01  0.8367646E+01 -0.8881784E-15  0.0000000E+00  0.0000000E+00
   0.31616   0.01000  0.7866493E+01  0.7866493E+01  0.7866493E+01  0.4662937E-14 -0.1776357E-14  0.1776357E-14
   0.33182   0.01000  0.1255324E+02  0.1255324E+02  0.1255324E+02 -0.2220446E-14  0.2664535E-14 -0.2664535E-14
   0.34747   0.01000  0.1317468E+02  0.1317468E+02  0.1317468E+02 -0.1332268E-14 -0.2664535E-14  0.6217249E-14
   0.36313   0.01000  0.1170500E+02  0.1170500E+02  0.1170500E+02 -0.2664535E-14 -0.2664535E-14 -0.8881784E-15
   0.37879   0.01000  0.9202977E+01  0.9202977E+01  0.9202977E+01  0.2220446E-14  0.1776357E-14 -0.1776357E-14
   0.39444   0.01000  0.1580291E+02  0.1580291E+02  0.1580291E+02  0.0000000E+00 -0.2664535E-14  0.2664535E-14
   0.41010   0.01000  0.1172266E+02  0.1172266E+02  0.1172266E+02 -0.4440892E-15  0.2664535E-14  0.8881784E-15
   0.42576   0.01000  0.9701571E+01  0.9701571E+01  0.9701571E+01  0.1332268E-14  0.3552714E-14  0.1776357E-14
   0.44141   0.01000  0.8354418E+01  0.8354418E+01  0.8354418E+01  0.2220446E-14 -0.2664535E-14  0.2664535E-14
   0.45707   0.01000  0.6515939E+01  0.6515939E+01  0.6515939E+01 -0.2220446E-15  0.3996803E-14 -0.4440892E-15
   0.47273   0.01000  0.3791506E+01  0.3791506E+01  0.3791506E+01 -0.2220446E-15 -0.8881784E-15  0.8881784E-15
   0.48838   0.01000  0.2026277E+01  0.2026277E+01  0.2026277E+01 -0.2220446E-15 -0.4440892E-15  0.0000000E+00
   0.50404   0.01000  0.2658644E+01  0.2658644E+01  0.2658644E+01 -0.5551115E-15 -0.4440892E-15  0.0000000E+00
   0.51970   0.01000  0.1935347E+01  0.1935347E+01  0.1935347E+01  0.4996004E-15  0.0000000E+00  0.8881784E-15
   0.53535   0.01000  0.2530697E+01  0.2530697E+01  0.2530697E+01  0.2220446E-15 -0.8881784E-15  0.0000000E+00
   0.55101   0.01000  0.2176074E+01  0.2176074E+01  0.2176074E+01 -0.5551115E-15 -0.2220446E-15 -0.2220446E-15
   0.56667   0.01000  0.1773389E+01  0.1773389E+01  0.1773389E+01  0.8881784E-15 -0.7771561E-15 -0.1110223E-15
   0.58232   0.01000  0.1695152E+01  0.1695152E+01  0.1695152E+01 -0.3885781E-15  0.1110223E-15 -0.1110223E-15
   0.59798   0.01000  0.1923407E+01  0.1923407E+01  0.1923407E+01  0.7771561E-15  0.5551115E-15 -0.5551115E-15
   0.61364   0.01000  0.2674647E+01  0.2674647E+01  0.2674647E+01 -0.1110223E-14  0.4440892E-15 -0.4440892E-15
   0.62929   0.01000  0.2053130E+01  0.2053130E+01  0.2053130E+01  0.7771561E-15 -0.6661338E-15 -0.2220446E-15
   0.64495   0.01000  0.1541756E+01  0.1541756E+01  0.1541756E+01  0.9992007E-15 -0.3330669E-15  0.3330669E-15
   0.66061   0.01000  0.1126282E+01  0.1126282E+01  0.1126282E+01 -0.1665335E-15  0.0000000E+00  0.2220446E-15
   0.67626   0.01000  0.1351931E+01  0.1351931E+01  0.1351931E+01 -0.5551115E-16  0.1110223E-15 -0.1110223E-15
   0.69192   0.01000  0.1654267E+01  0.1654267E+01  0.1654267E+01  0.8326673E-15 -0.4440892E-15  0.0000000E+00
   0.70758   0.01000  0.1654164E+01  0.1654164E+01  0.1654164E+01  0.5551115E-15 -0.1443290E-14 -0.3330669E-15
   0.72323   0.01000  0.1006205E+01  0.1006205E+01  0.1006205E+01 -0.2220446E-15  0.3330669E-15 -0.3330669E-15
   0.73889   0.01000  0.4997026E+00  0.4997026E+00  0.4997026E+00  0.1665335E-15 -0.8326673E-16 -0.2775558E-16
   0.75455   0.01000  0.4561464E+00  0.4561464E+00  0.4561464E+00 -0.2775558E-16  0.0000000E+00  0.0000000E+00
   0.77020   0.01000  0.5214840E+00  0.5214840E+00  0.5214840E+00 -0.3053113E-15 -0.1110223E-15  0.1110223E-15
   0.78586   0.01000  0.8426062E+00  0.8426062E+00  0.8426062E+00 -0.1110223E-15 -0.5551115E-16  0.2775558E-15
   0.80152   0.01000  0.1135720E+01  0.1135720E+01  0.1135720E+01 -0.2220446E-15 -0.4440892E-15 -0.2220446E-15
   0.81717   0.01000  0.8332180E+00  0.8332180E+00  0.8332180E+00  0.3885781E-15 -0.2775558E-15  0.2775558E-15
   0.83283   0.01000  0.5798983E+00  0.5798983E+00  0.5798983E+00 -0.2220446E-15  0.0000000E+00  0.0000000E+00
   0.84848   0.01000  0.6977140E+00  0.6977140E+00  0.6977140E+00  0.1387779E-15  0.1665335E-15  0.5551115E-16
   0.86414   0.01000  0.5960707E+00  0.5960707E+00  0.5960707E+00  0.5551115E-16 -0.5551115E-16 -0.1665335E-15
   0.87980   0.01000  0.4604493E+00  0.4604493E+00  0.4604493E+00  0.9714451E-16  0.5551115E-16 -0.1665335E-15
   0.89545   0.01000  0.4162079E+00  0.4162079E+00  0.4162079E+00  0.2775558E-16  0.5551115E-16  0.5551115E-16
   0.91111   0.01000  0.4261134E+00  0.4261134E+00  0.4261134E+00  0.4163336E-16 -0.2775558E-16  0.2775558E-16
   0.92677   0.01000  0.4185815E+00  0.4185815E+00  0.4185815E+00 -0.6938894E-16  0.2775558E-16  0.8326673E-16
   0.94242   0.01000  0.2888608E+00  0.2888608E+00  0.2888608E+00 -0.8326673E-16  0.8326673E-16  0.1387779E-15
   0.95808   0.01000  0.2851356E+00  0.2851356E+00  0.2851356E+00 -0.1387779E-16 -0.5551115E-16  0.5551115E-16
   0.97374   0.01000  0.2962178E+00  0.2962178E+00  0.2962178E+00 -0.5551115E-16  0.5551115E-16  0.5551115E-16
   0.98939   0.01000  0.3154696E+00  0.3154696E+00  0.3154696E+00  0.1387779E-16  0.5551115E-16  0.0000000E+00
   1.00505   0.01000  0.3407838E+00  0.3407838E+00  0.3407838E+00  0.1387779E-16  0.0000000E+00  0.0000000E+00
   1.02071   0.01000  0.2837379E+00  0.2837379E+00  0.2837379E+00  0.0000000E+00 -0.5551115E-16  0.5551115E-16
   1.03636   0.01000  0.2314959E+00  0.2314959E+00  0.2314959E+00  0.0000000E+00  0.1387779E-16 -0.6938894E-16
   1.05202   0.01000  0.2481166E+00  0.2481166E+00  0.2481166E+00  0.6245005E-16 -0.1387779E-15  0.2775558E-16
   1.06768   0.01000  0.3488998E+00  0.3488998E+00  0.3488998E+00  0.1387779E-16  0.2775558E-16 -0.2775558E-16
   1.08333   0.01000  0.4488101E+00  0.4488101E+00  0.4488101E+00  0.3053113E-15 -0.1110223E-15  0.1110223E-15
   1.09899   0.01000  0.5057424E+00  0.5057424E+00  0.5057424E+00  0.2498002E-15 -0.1110223E-15 -0.1110223E-15
   1.11465   0.01000  0.4508608E+00  0.4508608E+00  0.4508608E+00  0.1387779E-15  0.0000000E+00  0.0000000E+00
   1.13030   0.01000  0.3000031E+00  0.3000031E+00  0.3000031E+00  0.4163336E-16  0.8326673E-16 -0.2775558E-16
   1.14596   0.01000  0.2739301E+00  0.2739301E+00  0.2739301E+00 -0.9714451E-16  0.8326673E-16 -0.2775558E-16
   1.16162   0.01000  0.3296724E+00  0.3296724E+00  0.3296724E+00 -0.2775558E-16  0.2775558E-16 -0.2775558E-16
   1.17727   0.01000  0.2122731E+00  0.2122731E+00  0.2122731E+00  0.6938894E-16  0.0000000E+00  0.0000000E+00
   1.19293   0.01000  0.2593741E+00  0.2593741E+00  0.2593741E+00 -0.1249001E-15  0.5551115E-16 -0.1665335E-15
   1.20859   0.01000  0.1847785E+00  0.1847785E+00  0.1847785E+00  0.1387779E-16  0.4163336E-16 -0.4163336E-16
   1.22424   0.01000  0.1419305E+00  0.1419305E+00  0.1419305E+00 -0.1387779E-16 -0.6938894E-16  0.1387779E-16
   1.23990   0.01000  0.1690131E+00  0.1690131E+00  0.1690131E+00 -0.5551115E-16 -0.2775558E-16  0.2775558E-16
   1.25556   0.01000  0.2017581E+00  0.2017581E+00  0.2017581E+00  0.2775558E-16  0.4163336E-16  0.6938894E-16
   1.27121   0.01000  0.2171834E+00  0.2171834E+00  0.2171834E+00  0.6938894E-16 -0.9714451E-16 -0.1387779E-16
   1.28687   0.01000  0.1771412E+00  0.1771412E+00  0.1771412E+00  0.0000000E+00  0.1387779E-16 -0.1387779E-16
   1.30253   0.01000  0.1684611E+00  0.1684611E+00  0.1684611E+00  0.8326673E-16  0.4163336E-16 -0.4163336E-16
   1.31818   0.01000  0.1596796E+00  0.1596796E+00  0.1596796E+00 -0.1387779E-16 -0.6938894E-16  0.1387779E-16
   1.33384   0.01000  0.1492709E+00  0.1492709E+00  0.1492709E+00  0.1387779E-16  0.0000000E+00 -0.2775558E-16
   1.34949   0.01000  0.1466700E+00  0.1466700E+00  0.1466700E+00  0.2775558E-16 -0.2775558E-16 -0.2775558E-16
   1.36515   0.01000  0.1322770E+00  0.1322770E+00  0.1322770E+00  0.1387779E-16  0.0000000E+00  0.0000000E+00
   1.38081   0.01000  0.1447614E+00  0.1447614E+00  0.1447614E+00  0.2775558E-16  0.0000000E+00 -0.2775558E-16
   1.39646   0.01000  0.1051451E+00  0.1051451E+00  0.1051451E+00  0.6938894E-16 -0.3469447E-16 -0.2081668E-16
   1.41212   0.01000  0.1060398E+00  0.1060398E+00  0.1060398E+00 -0.3469447E-17  0.4857226E-16  0.3469447E-16
   1.42778   0.01000  0.1125689E+00  0.1125689E+00  0.1125689E+00 -0.3469447E-17 -0.2081668E-16 -0.6938894E-17
   1.44343   0.01000  0.8839756E-01  0.8839756E-01  0.8839756E-01 -0.1387779E-16  0.6938894E-17 -0.6938894E-17
   1.45909   0.01000  0.6743909E-01  0.6743909E-01  0.6743909E-01  0.2428613E-16  0.0000000E+00  0.0000000E+00
   1.47475   0.01000  0.7176526E-01  0.7176526E-01  0.7176526E-01 -0.2428613E-16  0.0000000E+00  0.2775558E-16
   1.49040   0.01000  0.6911991E-01  0.6911991E-01  0.6911991E-01  0.0000000E+00  0.0000000E+00 -0.2775558E-16
   1.50606   0.01000  0.7960021E-01  0.7960021E-01  0.7960021E-01  0.1387779E-16 -0.1387779E-16  0.0000000E+00
   1.52172   0.01000  0.7553384E-01  0.7553384E-01  0.7553384E-01  0.2428613E-16  0.2081668E-16 -0.6938894E-17
   1.53737   0.01000  0.7986677E-01  0.7986677E-01  0.7986677E-01  0.2081668E-16  0.4163336E-16 -0.1387779E-16
   1.55303   0.01000  0.7531261E-01  0.7531261E-01  0.7531261E-01  0.1040834E-16 -0.1387779E-16  0.0000000E+00
   1.56869   0.01000  0.6871250E-01  0.6871250E-01  0.6871250E-01  0.1387779E-16  0.6938894E-17 -0.3469447E-16
   1.58434   0.01000  0.7841837E-01  0.7841837E-01  0.7841837E-01  0.3469447E-17 -0.6938894E-17 -0.4857226E-16
   1.60000   0.01000  0.5128116E-01  0.5128116E-01  0.5128116E-01  0.8673617E-17  0.1040834E-16  0.3469447E-17
