#  Re(w)     Im(w)    e11            e22            e33            e12            e13            e23
   0.05000   0.01000  0.1490849E+02  0.1490849E+02  0.1490849E+02  0.3108624E-14 -0.8881784E-15  0.7993606E-14
   0.06566   0.01000  0.1531315E+02  0.1531315E+02  0.1531315E+02  0.2664535E-14  0.2664535E-14 -0.2664535E-14
   0.08131   0.01000  0.1587069E+02  0.1587069E+02  0.1587069E+02 -0.6217249E-14 -0.8881784E-15  0.4440892E-14
   0.09697   0.01000  0.1662330E+02  0.1662330E+02  0.1662330E+02 -0.4440892E-15  0.3552714E-14 -0.7105427E-14
   0.11263   0.01000  0.1763991E+02  0.1763991E+02  0.1763991E+02  0.2664535E-14  0.0000000E+00  0.3552714E-14
   0.12828   0.01000  0.1903941E+02  0.1903941E+02  0.1903941E+02  0.7105427E-14  0.1776357E-14 -0.1776357E-14
   0.14394   0.01000  0.2104611E+02  0.2104611E+02  0.2104611E+02  0.7105427E-14  0.3552714E-14  0.0000000E+00
   0.15960   0.01000  0.2413755E+02  0.2413755E+02  0.2413755E+02 -0.6217249E-14  0.1776357E-14 -0.1776357E-14
   0.17525   0.01000  0.2938458E+02  0.2938458E+02  0.2938458E+02  0.5329071E-14 -0.8881784E-14  0.1776357E-14
   0.19091   0.01000  0.3223360E+02  0.3223360E+02  0.3223360E+02  0.1421085E-13 -0.1776357E-13  0.3552714E-14
   0.20657   0.01000  0.1401544E+02  0.1401544E+02  0.1401544E+02  0.1332268E-14 -0.3552714E-14  0.3552714E-14
   0.22222   0.01000  0.2506453E+02  0.2506453E+02  0.2506453E+02  0.5329071E-14 -0.1243450E-13 -0.8881784E-14
   0.23788   0.01000  0.3806911E+02  0.3806911E+02  0.3806911E+02 -0.3552714E-14 -0.3552714E-14  0.3552714E-14
   0.25354   0.01000  0.1954581E+02  0.1954581E+02  0.1954581E+02  0.8881784E-15  0.1776357E-14 -0.1776357E-14
   0.26919   0.01000 -0.1923432E+02 -0.1923432E+02 -0.1923432E+02 -0.8881784E-15  0.1243450E-13 -0.5329071E-14
   0.28485   0.01000 -0.2334137E+02 -0.2334137E+02 -0.2334137E+02 -0.1953993E-13  0.1243450E-13  0.1776357E-14
   0.30051   0.01000 -0.1204692E+02 -0.1204692E+02 -0.1204692E+02 -0.4440892E-15  0.8881784E-15 -0.4440892E-14
   0.31616   0.01000 -0.3420425E+01 -0.3420425E+01 -0.3420425E+01  0.0000000E+00  0.8881784E-15 -0.8881784E-15
   0.33182   0.01000 -0.2059065E+01 -0.2059065E+01 -0.2059065E+01  0.8881784E-15 -0.6661338E-15 -0.2220446E-15
   0.34747   0.01000 -0.2469872E+01 -0.2469872E+01 -0.2469872E+01  0.1554312E-14 -0.1776357E-14 -0.8881784E-15
   0.36313   0.01000 -0.5007169E+01 -0.5007169E+01 -0.5007169E+01  0.8881784E-15  0.0000000E+00  0.1776357E-14
   0.37879   0.01000 -0.1493440E+01 -0.1493440E+01 -0.1493440E+01 -0.4440892E-15  0.1110223E-14 -0.2220446E-15
   0.39444   0.01000 -0.3058495E+01 -0.3058495E+01 -0.3058495E+01  0.2220446E-15  0.8881784E-15  0.0000000E+00
   0.41010   0.01000 -0.8334110E+01 -0.8334110E+01 -0.8334110E+01  0.2220446E-14 -0.8881784E-15 -0.8881784E-15
   0.42576   0.01000 -0.8675575E+01 -0.8675575E+01 -0.8675575E+01  0.0000000E+00  0.2664535E-14 -0.2664535E-14
   0.44141   0.01000 -0.7961946E+01 -0.7961946E+01 -0.7961946E+01 -0.2220446E-14  0.8881784E-15 -0.8881784E-15
   0.45707   0.01000 -0.9560188E+01 -0.9560188E+01 -0.9560188E+01  0.1332268E-14  0.0000000E+00  0.0000000E+00
   0.47273   0.01000 -0.8647554E+01 -0.8647554E+01 -0.8647554E+01 -0.2664535E-14  0.8881784E-15  0.2664535E-14
   0.48838   0.01000 -0.6398798E+01 -0.6398798E+01 -0.6398798E+01 -0.1998401E-14  0.2220446E-14 -0.4440892E-15
   0.50404   0.01000 -0.5007391E+01 -0.5007391E+01 -0.5007391E+01 -0.2664535E-14  0.1776357E-14  0.1776357E-14
   0.51970   0.01000 -0.4410204E+01 -0.4410204E+01 -0.4410204E+01  0.1110223E-14  0.0000000E+00  0.0000000E+00
   0.53535   0.01000 -0.4001514E+01 -0.4001514E+01 -0.4001514E+01  0.4440892E-15  0.1332268E-14 -0.1332268E-14
   0.55101   0.01000 -0.3652861E+01 -0.3652861E+01 -0.3652861E+01  0.0000000E+00  0.4440892E-15 -0.4440892E-15
   0.56667   0.01000 -0.3423913E+01 -0.3423913E+01 -0.3423913E+01 -0.8881784E-15  0.4440892E-15 -0.4440892E-15
   0.58232   0.01000 -0.2936934E+01 -0.2936934E+01 -0.2936934E+01  0.1554312E-14 -0.1776357E-14  0.8881784E-15
   0.59798   0.01000 -0.2055034E+01 -0.2055034E+01 -0.2055034E+01 -0.4440892E-15  0.0000000E+00  0.0000000E+00
   0.61364   0.01000 -0.2796682E+01 -0.2796682E+01 -0.2796682E+01 -0.2220446E-15 -0.1110223E-14  0.1998401E-14
   0.62929   0.01000 -0.2967832E+01 -0.2967832E+01 -0.2967832E+01  0.0000000E+00 -0.1554312E-14 -0.2220446E-15
   0.64495   0.01000 -0.2869536E+01 -0.2869536E+01 -0.2869536E+01  0.7771561E-15  0.0000000E+00 -0.8881784E-15
   0.66061   0.01000 -0.2539028E+01 -0.2539028E+01 -0.2539028E+01 -0.1776357E-14  0.6661338E-15  0.1110223E-14
   0.67626   0.01000 -0.1788065E+01 -0.1788065E+01 -0.1788065E+01  0.0000000E+00 -0.2220446E-15  0.2220446E-15
   0.69192   0.01000 -0.1946933E+01 -0.1946933E+01 -0.1946933E+01 -0.2220446E-15  0.2220446E-15 -0.2220446E-15
   0.70758   0.01000 -0.2482771E+01 -0.2482771E+01 -0.2482771E+01  0.4440892E-15  0.2220446E-15 -0.1110223E-14
   0.72323   0.01000 -0.2418562E+01 -0.2418562E+01 -0.2418562E+01  0.2775558E-14 -0.2220446E-15 -0.6661338E-15
   0.73889   0.01000 -0.2066803E+01 -0.2066803E+01 -0.2066803E+01  0.8881784E-15 -0.8881784E-15  0.8881784E-15
   0.75455   0.01000 -0.1543979E+01 -0.1543979E+01 -0.1543979E+01  0.1110223E-15 -0.8881784E-15  0.0000000E+00
   0.77020   0.01000 -0.1217750E+01 -0.1217750E+01 -0.1217750E+01 -0.8881784E-15 -0.2220446E-15  0.6661338E-15
   0.78586   0.01000 -0.9924361E+00 -0.9924361E+00 -0.9924361E+00 -0.2775558E-15 -0.2220446E-15  0.2220446E-15
   0.80152   0.01000 -0.1269120E+01 -0.1269120E+01 -0.1269120E+01  0.5551115E-15  0.2220446E-15  0.6661338E-15
   0.81717   0.01000 -0.1372368E+01 -0.1372368E+01 -0.1372368E+01 -0.2220446E-15  0.0000000E+00  0.4440892E-15
   0.83283   0.01000 -0.1177345E+01 -0.1177345E+01 -0.1177345E+01  0.2220446E-15  0.6661338E-15 -0.6661338E-15
   0.84848   0.01000 -0.1155283E+01 -0.1155283E+01 -0.1155283E+01  0.2220446E-15  0.8881784E-15  0.0000000E+00
   0.86414   0.01000 -0.1149314E+01 -0.1149314E+01 -0.1149314E+01 -0.3330669E-15 -0.4440892E-15  0.4440892E-15
   0.87980   0.01000 -0.1020812E+01 -0.1020812E+01 -0.1020812E+01 -0.2220446E-15 -0.2220446E-15 -0.1110223E-14
   0.89545   0.01000 -0.8615615E+00 -0.8615615E+00 -0.8615615E+00 -0.1110223E-14  0.1110223E-15 -0.9992007E-15
   0.91111   0.01000 -0.8020240E+00 -0.8020240E+00 -0.8020240E+00 -0.5551115E-15  0.1332268E-14 -0.4440892E-15
   0.92677   0.01000 -0.7471510E+00 -0.7471510E+00 -0.7471510E+00  0.2220446E-15 -0.9992007E-15 -0.3330669E-15
   0.94242   0.01000 -0.7208592E+00 -0.7208592E+00 -0.7208592E+00  0.2775558E-15 -0.4440892E-15 -0.4440892E-15
   0.95808   0.01000 -0.5695281E+00 -0.5695281E+00 -0.5695281E+00 -0.3885781E-15  0.7771561E-15  0.5551115E-15
   0.97374   0.01000 -0.4743914E+00 -0.4743914E+00 -0.4743914E+00 -0.1054712E-14  0.7771561E-15 -0.3330669E-15
   0.98939   0.01000 -0.4235966E+00 -0.4235966E+00 -0.4235966E+00 -0.2220446E-15 -0.8881784E-15  0.4440892E-15
   1.00505   0.01000 -0.3533508E+00 -0.3533508E+00 -0.3533508E+00  0.2220446E-15  0.1110223E-15 -0.1110223E-15
